cve_id,cve_description,cwe_id,cwe_description
CVE-2019-15900,"Chain: sscanf() call is used to check if a username and group exists, but the return value of sscanf() call is not checked (CWE-252), causing an uninitialized variable to be checked (CWE-457), returning success to allow authorization bypass for executing a privileged (CWE-863).",CWE-863,Incorrect Authorization
CVE-2005-1705,Product searches current working directory for configuration file.,CWE-427,Uncontrolled Search Path Element
CVE-2009-0255,Cryptographic key created with a seed based on the system time.,CWE-330,Use of Insufficiently Random Values
CVE-2005-0603,Malformed regexp syntax leads to information exposure in error message.,CWE-185,Incorrect Regular Expression
CVE-2009-2422,"authentication routine returns nil instead of false in some situations, allowing authentication bypass using an invalid username.",CWE-287,Improper Authentication
CVE-2003-0517,Symlink attack allows local users to overwrite files.,CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2004-0989,Multiple buffer overflows in xml library that may allow remote attackers to execute arbitrary code via long URLs.,CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2003-0291,router does not clear information from DHCP packets that have been previously used,CWE-226,Sensitive Information in Resource Not Removed Before Reuse
CVE-2005-0587,"Browser allows remote malicious web sites to overwrite arbitrary files by tricking the user into downloading a .LNK (link) file twice, which overwrites the file that was referenced in the first .LNK file.",CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2002-1869,"Product does not check if it can write to a log file, allowing attackers to avoid logging by accessing the file using an exclusive lock. Overlaps unchecked error condition. This is not quite CWE-412, but close.",CWE-667,Improper Locking
CVE-2005-1880,Second-order symlink vulnerabilities,CWE-61,UNIX Symbolic Link (Symlink) Following
CVE-2005-3327,Chain: Authentication bypass by skipping the first startup step as required by the protocol.,CWE-304,Missing Critical Step in Authentication
CVE-2010-3138,DLL hijacking issue in library used by multiple media players.,CWE-427,Uncontrolled Search Path Element
CVE-2024-37032,"Large language model (LLM) management tool does not validate the format of a digest value (CWE-1287) from a private, untrusted model registry, enabling relative path traversal (CWE-23), a.k.a. Probllama",CWE-23,Relative Path Traversal
CVE-2007-1285,Deeply nested arrays trigger stack exhaustion.,CWE-674,Uncontrolled Recursion
CVE-2003-0466,"Off-by-one error in function used in many products leads to a buffer overflow during pathname management, as demonstrated using multiple commands in an FTP server.",CWE-193,Off-by-one Error
CVE-2008-3282,"Size of a particular type changes for 64-bit platforms, leading to an integer truncation in document processor causes incorrect index to be generated.",CWE-681,Incorrect Conversion between Numeric Types
CVE-2002-1869,"Product does not check if it can write to a log file, allowing attackers to avoid logging by accessing the file using an exclusive lock. Overlaps unchecked error condition. This is not quite CWE-412, but close.",CWE-412,Unrestricted Externally Accessible Lock
CVE-2008-3424,"Chain: product does not properly handle wildcards in an authorization policy list, allowing unintended access.",CWE-285,Improper Authorization
CVE-2000-0293,Filenames with spaces allow arbitrary file deletion when the product does not properly quote them; some overlap with path traversal.,CWE-48,Path Equivalence: 'file name' (Internal Whitespace)
CVE-2005-3302,Code injection into Python eval statement from a field in a formatted file.,CWE-95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')
CVE-2009-3168,"Web application does not restrict access to admin scripts, allowing authenticated users to reset administrative passwords.",CWE-285,Improper Authorization
CVE-2002-1374,The provided password is only compared against the first character of the real password.,CWE-305,Authentication Bypass by Primary Weakness
CVE-2007-4786,Product sends passwords in cleartext to a log server.,CWE-319,Cleartext Transmission of Sensitive Information
CVE-2020-0968,"Memory corruption in web browser scripting engine, as exploited in the wild per CISA KEV.",CWE-787,Out-of-bounds Write
CVE-2005-1387,password passed on command line,CWE-214,Invocation of Process Using Visible Sensitive Information
CVE-2002-2109,"Regexp isn't anchored to the beginning or end, which allows spoofed values that have trusted values as substrings.",CWE-185,Incorrect Regular Expression
CVE-2007-6033,"Product creates a share with Everyone: Full Control permissions, allowing arbitrary program execution.",CWE-732,Incorrect Permission Assignment for Critical Resource
CVE-2021-1879,"Universal XSS in mobile operating system, as exploited in the wild per CISA KEV.",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2009-3421,login script for guestbook allows bypassing authentication by setting a login_ok parameter to 1.,CWE-287,Improper Authentication
CVE-2006-2908,"Function allows remote attackers to execute arbitrary PHP code via the username field, which is used in a preg_replace function call with a /e (executable) modifier.",CWE-624,Executable Regular Expression Error
CVE-2000-0944,Web application password change utility doesn't check the original password.,CWE-620,Unverified Password Change
CVE-2008-1319,"Server allows client to specify the search path, which can be modified to point to a program that the client has uploaded.",CWE-426,Untrusted Search Path
CVE-2022-41918,"A search application's access control rules are not properly applied to indices for data streams, allowing for the viewing of sensitive information.",CWE-612,Improper Authorization of Index Containing Sensitive Information
CVE-2004-1939,"XSS protection mechanism attempts to remove / that could be used to close tags, but it can be bypassed using double encoded slashes (%252F)",CWE-174,Double Decoding of the Same Data
CVE-2022-20775,A cloud management tool allows attackers to bypass the restricted shell using path traversal sequences like /../ in the USER environment variable.,CWE-25,Path Traversal: '/../filedir'
CVE-2002-0406,Large number of connections without providing credentials allows connection exhaustion.,CWE-410,Insufficient Resource Pool
CVE-2005-0102,Length value of -1 leads to allocation of 0 bytes and resultant heap overflow.,CWE-190,Integer Overflow or Wraparound
CVE-2002-0515,"Product sets a different TTL when a port is being filtered than when it is not being filtered, which allows remote attackers to identify filtered ports by comparing TTLs.",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2012-5784,SOAP platform does not verify the hostname.,CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2005-1971,Directory traversal vulnerability in PHP include statement.,CWE-98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')
CVE-2004-0940,Is effectively an accidental double increment of a counter that prevents a length check conditional from exiting a loop.,CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2004-1814,Directory traversal vulnerability in server allows remote attackers to read protected files via .. (dot dot) sequences in an HTTP request.,CWE-41,Improper Resolution of Path Equivalence
CVE-2002-0265,Log files opened read/write.,CWE-279,Incorrect Execution-Assigned Permissions
CVE-2008-6828,product stores a password in cleartext in memory,CWE-312,Cleartext Storage of Sensitive Information
CVE-2005-1650,User enumeration via discrepancies in error messages.,CWE-203,Observable Discrepancy
CVE-2001-1537,Default configuration has cleartext usernames/passwords in cookie.,CWE-315,Cleartext Storage of Sensitive Information in a Cookie
CVE-2009-3897,"Product creates directories with 0777 permissions at installation, allowing users to gain privileges and access a socket used for authentication.",CWE-732,Incorrect Permission Assignment for Critical Resource
CVE-2022-43468,"WordPress module sets internal variables based on external inputs, allowing false reporting of the number of views",CWE-454,External Initialization of Trusted Variables or Data Stores
CVE-2021-21220,"Chain: insufficient input validation (CWE-20) in browser allows heap corruption (CWE-787), as exploited in the wild per CISA KEV.",CWE-787,Out-of-bounds Write
CVE-2002-0401,Network monitor allows remote attackers to cause a denial of service (crash) or execute arbitrary code via malformed packets that cause a NULL pointer dereference.,CWE-476,NULL Pointer Dereference
CVE-2021-40985,"HTML conversion package has a buffer under-read, allowing a crash",CWE-127,Buffer Under-read
CVE-2005-3148,Backup software restores symbolic links with incorrect uid/gid.,CWE-708,Incorrect Ownership Assignment
CVE-1999-1263,Mail client allows remote attackers to overwrite arbitrary files via an e-mail message containing a uuencoded attachment that specifies the full pathname for the file to be modified.,CWE-38,Path Traversal: 'absolutepathnamehere'
CVE-2012-5810,"Mobile banking application does not verify hostname, leading to financial loss.",CWE-295,Improper Certificate Validation
CVE-2008-5125,Application allows admin privileges by setting a cookie value to admin.,CWE-642,External Control of Critical State Data
CVE-2001-0446,Application server allows remote attackers to read source code for .jsp files by appending a / to the requested URL.,CWE-162,Improper Neutralization of Trailing Special Elements
CVE-2022-30034,"Chain: Web UI for a Python RPC framework does not use regex anchors to validate user login emails (CWE-777), potentially allowing bypass of OAuth (CWE-1390).",CWE-1390,Weak Authentication
